,ID,CT_CS,CT_Temp,CT_RT,log_CT_CS,LMP,LMP_Model,Prediction,diff
218,9Cr-028,290.0,500.0,15581.1,5.66988092298052,19.258226309609235,19.286364357595964,14728.472796767524,852.627203232476
219,9Cr-028,240.0,550.0,674.8,5.480638923341991,19.91958252391344,19.488332130076532,1478.092931168917,-803.292931168917
220,9Cr-028,220.0,550.0,2840.8,5.393627546352362,20.223666791661486,20.278915677102916,2569.2992173822577,271.5007826177425
221,9Cr-028,200.0,550.0,10359.9,5.298317366548036,20.556753420530573,20.99053696199851,4707.9154768744,5651.9845231255995
222,9Cr-028,180.0,550.0,34508.5,5.19295685089021,20.924963605931787,21.652331659423925,9195.53739413327,25312.96260586673
223,9Cr-028,160.0,575.0,7300.2,5.075173815233827,21.33658757270319,21.743378795892422,3598.2180909607,3701.9819090393
224,9Cr-028,150.0,575.0,14453.4,5.0106352940962555,21.562134502548915,22.1361198590691,5326.499554096609,9126.90044590339
225,9Cr-028,140.0,575.0,27171.4,4.941642422609304,21.803248337679292,22.49908013847497,8101.284969263477,19070.115030736524
226,9Cr-028,160.0,600.0,529.0,5.075173815233827,21.33658757270319,21.113941936068105,766.6761578039462,-237.67615780394624
227,9Cr-028,140.0,600.0,2821.4,4.941642422609304,21.803248337679292,22.118341973737362,1668.7538588136981,1152.646141186302
228,9Cr-028,120.0,600.0,9190.8,4.787491742782046,22.341968654721533,22.826923834575254,4095.727473083266,5095.072526916733
229,9Cr-028,110.0,600.0,19079.7,4.700480365792417,22.64605292246958,23.26517700991806,6798.836288856576,12280.863711143425
230,9Cr-028,100.0,600.0,38488.8,4.605170185988092,22.979139551338662,23.68622241827075,11844.881638043142,26643.91836195686
231,9Cr-028,140.0,625.0,166.8,4.941642422609304,21.803248337679292,21.272318928029076,390.0529680307194,-223.2529680307194
232,9Cr-028,120.0,625.0,774.3,4.787491742782046,22.341968654721533,22.231796368946597,923.559339545649,-149.25933954564903
233,9Cr-028,100.0,625.0,4225.8,4.605170185988092,22.979139551338662,23.292424166188308,2559.8616350900993,1665.9383649099009
234,9Cr-028,90.0,625.0,9342.6,4.499809670330265,23.34734973673988,23.788284162498318,4613.973908495425,4728.626091504575
235,9Cr-028,110.0,650.0,236.4,4.700480365792417,22.64605292246958,22.349886052294984,372.8464319440954,-136.4464319440954
236,9Cr-028,100.0,650.0,439.8,4.605170185988092,22.979139551338662,22.75340266747765,622.4153229850098,-182.61532298500975
237,9Cr-028,80.0,650.0,2368.8,4.382026634673881,23.75897370351128,23.847884821611018,2065.964447688994,302.83555231100627
238,9Cr-028,70.0,650.0,6123.6,4.248495242049359,24.22563446848738,24.465233151306872,4235.650006287728,1887.9499937122728
239,9Cr-028,60.0,700.0,367.1,4.0943445622221,24.764354785529626,24.377184359797266,638.2530907779691,-271.15309077796906
240,9Cr-028,50.0,700.0,818.0,3.912023005428146,25.401525682146755,24.938043992067236,1586.013694410306,-768.013694410306
241,9Cr-028,40.0,700.0,2583.9,3.6888794541139363,26.181359834319373,25.743178971569584,4832.0583995169945,-2248.1583995169945
242,9Cr-029,360.0,500.0,1196.0,5.886104031450156,18.502577475123694,17.869922311981853,4238.854136152693,-3042.854136152693
243,9Cr-029,340.0,500.0,2455.7,5.8289456176102075,18.702332668289202,18.22963691071106,6320.531913483856,-3864.8319134838566
244,9Cr-029,320.0,500.0,4716.4,5.768320995793772,18.9142014418951,18.55595388257782,9655.627590322185,-4939.227590322185
245,9Cr-029,300.0,500.0,13158.1,5.703782474656201,19.139748371740826,19.068949753504697,15159.611830625194,-2001.5118306251934
246,9Cr-029,290.0,500.0,21624.1,5.66988092298052,19.258226309609235,19.31733520094501,19213.06758249275,2411.032417507249
