,Fe,C,Cr,Mn,Si,Ni,Co,Mo,W,Nb,Al,P,Cu,Ti,Ta,V,B,N,O,S,Zr,Homo,Weighted_AN,log_CT_CS
9Cr-075_31,-0.6564434046411365,0.0,0.0,0.0,0.0,0.0,0.0,-0.7626553860443507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4906347230330175,-22.131829297120053
9Cr-025_34,-0.06147376968993849,0.0,0.0,0.0,0.0,0.0,0.0,-3.3710311082354307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3107722366326844,-56.8594873584305
9Cr-050_13,1.6383047281084289,0.0,0.0,0.0,0.0,0.0,0.0,6.212446712607528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3107722366318686,0.0
9Cr-031_36,-1.9392073974319117,0.0,0.0,0.0,0.0,0.0,0.0,-3.606482501113037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.466856990347691,6.573558731447627
9Cr-047_12,-0.35658804932211113,0.0,0.0,0.0,0.0,0.0,0.0,-0.36089904721130434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.739230202248509,-13.226697860741195
9Cr-063_11,2.6338147354353674,0.0,0.0,0.0,0.0,0.0,0.0,-0.36089904721130434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.476385231515709,19.64044429820069
9Cr-043_6,2.5672577041760425,0.0,0.0,0.0,0.0,0.0,0.0,3.2336249666541854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8874043453819478,0.0
9Cr-078_13,-1.9392073974319117,0.0,0.0,0.0,0.0,0.0,0.0,-3.606482501113037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.466856990347691,6.573558731447627
9Cr-043_31,-0.35658804932211113,0.0,0.0,0.0,0.0,0.0,0.0,-0.36089904721130434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.739230202248509,-13.226697860741195
9Cr-070_6,2.6338147354353674,0.0,0.0,0.0,0.0,0.0,0.0,-0.36089904721130434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.476385231515709,19.64044429820069
9Cr-049_13,2.5672577041760425,0.0,0.0,0.0,0.0,0.0,0.0,-0.3379981345882997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.164536426905565,0.0
9Cr-075_19,0.7705130503739074,0.0,0.0,0.0,0.0,0.0,0.0,37.255150550921094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.7229992512089485,-24.253800575269516
9Cr-073_29,0.7705130503739074,0.0,0.0,0.0,0.0,0.0,0.0,7.643341863078742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.7229992512089485,-40.69045542518313
9Cr-071_27,0.7705130503737133,0.0,0.0,0.0,0.0,0.0,0.0,2.9710497789899164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.576149785518351,-31.556790102847756
9Cr-035_55,0.7705130503737133,0.0,0.0,0.0,0.0,0.0,0.0,0.6683743495593514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.576149785518351,-28.91168449629448
