ID,Fe,C,Cr,Mn,Si,Ni,Co,Mo,W,Nb,Al,P,Cu,Ti,Ta,Hf,Re,V,B,N,O,S,Homo,Normal,Temper1,Temper2,Temper3,AGS No.,AGS,TT Temp,YS,UTS,Elong,RA,CT Temp,CS,RT,EL,RA_2,MCR,0.1% CS,0.2% CS,0.5% CS,1.0% CS,2.0% CS,5.0% CS,TTC
7,85.5,0.15,9.875,0.414,0.078,0.27,1.467,1.268,0.472,0.056,0.019,0.001,0.006,,0.269,,0.115,0.202,0.0102,0.0238,0.0032,0.0058,1,1150,700,,,6,,600,473,555,37,79,,,,,,,,,,,,,
7,85.5,0.15,9.875,0.414,0.078,0.27,1.467,1.268,0.472,0.056,0.019,0.001,0.006,,0.269,,0.115,0.202,0.0102,0.0238,0.0032,0.0058,1,1150,700,,,6,,650,393,458,38,83,,,,,,,,,,,,,
7,85.5,0.15,9.875,0.414,0.078,0.27,1.467,1.268,0.472,0.056,0.019,0.001,0.006,,0.269,,0.115,0.202,0.0102,0.0238,0.0032,0.0058,1,1150,700,,,6,,,,,,,650,172.369,1274.7,27,74.9,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,83.837,0.15,10.639,0.415,0.101,0.28,2.933,0.504,0.513,0.056,0.013,0.001,0.033,,0.266,,,0.205,0.0089,0.0341,0.005,0.006,1,1150,700,,,7,,23.9,872,1035,24,60,,,,,,,,,,,,,
8,83.837,0.15,10.639,0.415,0.101,0.28,2.933,0.504,0.513,0.056,0.013,0.001,0.033,,0.266,,,0.205,0.0089,0.0341,0.005,0.006,1,1150,700,,,7,,600,477,555,37,79,,,,,,,,,,,,,
8,83.837,0.15,10.639,0.415,0.101,0.28,2.933,0.504,0.513,0.056,0.013,0.001,0.033,,0.266,,,0.205,0.0089,0.0341,0.005,0.006,1,1150,700,,,7,,650,408,474,34,81,,,,,,,,,,,,,
8,83.837,0.15,10.639,0.415,0.101,0.28,2.933,0.504,0.513,0.056,0.013,0.001,0.033,,0.266,,,0.205,0.0089,0.0341,0.005,0.006,1,1150,700,,,7,,,,,,,650,172.369,1276,48.6,87.8,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,84.167,0.14,10.629,0.403,0.084,0.27,2.937,0.505,0.517,0.055,0.012,0.001,0.031,,0.003,,,0.203,0.0087,0.02,0.0075,0.0064,1,1150,700,,,1,,23.9,769,942,22,56,,,,,,,,,,,,,
9,84.167,0.14,10.629,0.403,0.084,0.27,2.937,0.505,0.517,0.055,0.012,0.001,0.031,,0.003,,,0.203,0.0087,0.02,0.0075,0.0064,1,1150,700,,,1,,200,723.95,841.16,17,61,,,,,,,,,,,,,
9,84.167,0.14,10.629,0.403,0.084,0.27,2.937,0.505,0.517,0.055,0.012,0.001,0.031,,0.003,,,0.203,0.0087,0.02,0.0075,0.0064,1,1150,700,,,1,,300,703.27,799.79,16,59,,,,,,,,,,,,,
9,84.167,0.14,10.629,0.403,0.084,0.27,2.937,0.505,0.517,0.055,0.012,0.001,0.031,,0.003,,,0.203,0.0087,0.02,0.0075,0.0064,1,1150,700,,,1,,400,655,751.53,16,60,,,,,,,,,,,,,
9,84.167,0.14,10.629,0.403,0.084,0.27,2.937,0.505,0.517,0.055,0.012,0.001,0.031,,0.003,,,0.203,0.0087,0.02,0.0075,0.0064,1,1150,700,,,1,,500,582.61,655,15,62,,,,,,,,,,,,,
9,84.167,0.14,10.629,0.403,0.084,0.27,2.937,0.505,0.517,0.055,0.012,0.001,0.031,,0.003,,,0.203,0.0087,0.02,0.0075,0.0064,1,1150,700,,,1,,550,527.45,596.4,24,76,,,,,,,,,,,,,
9,84.167,0.14,10.629,0.403,0.084,0.27,2.937,0.505,0.517,0.055,0.012,0.001,0.031,,0.003,,,0.203,0.0087,0.02,0.0075,0.0064,1,1150,700,,,1,,600,435,499,36,80,,,,,,,,,,,,,
9,84.167,0.14,10.629,0.403,0.084,0.27,2.937,0.505,0.517,0.055,0.012,0.001,0.031,,0.003,,,0.203,0.0087,0.02,0.0075,0.0064,1,1150,700,,,1,,650,350,419,38,85,,,,,,,,,,,,,
9,84.167,0.14,10.629,0.403,0.084,0.27,2.937,0.505,0.517,0.055,0.012,0.001,0.031,,0.003,,,0.203,0.0087,0.02,0.0075,0.0064,1,1150,700,,,1,,,,,,,650,172.369,1170,5,20.4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,84.887,0.15,10.176,0.41,0.101,0.227,1.586,1.347,0.596,0.051,0.005,0.002,0.042,,0.005,0.16,,0.213,0.0097,0.0215,0.0047,0.0059,1,1150,700,,,1,,23.9,759,918,22,55,,,,,,,,,,,,,
10,84.887,0.15,10.176,0.41,0.101,0.227,1.586,1.347,0.596,0.051,0.005,0.002,0.042,,0.005,0.16,,0.213,0.0097,0.0215,0.0047,0.0059,1,1150,700,,,1,,600,436,499,38,84,,,,,,,,,,,,,
10,84.887,0.15,10.176,0.41,0.101,0.227,1.586,1.347,0.596,0.051,0.005,0.002,0.042,,0.005,0.16,,0.213,0.0097,0.0215,0.0047,0.0059,1,1150,700,,,1,,650,338,413,43,89,,,,,,,,,,,,,
